sale_id,sale_date,customer_id,customer_gender,customer_loyalty_member_status,product_id,product_brand,product_name,product_category,store_city,store_country,sale_quantity,product_unit_price,sale_revenue,sale_cost,sale_profit
382,2023-01-01,8468,Male,1,93,Cadbury,"Cadbury Milk Chocolate 90% (80g)",Milk,Brisbane,Australia,4,9.08,41.24,25.19,16.05
384,2023-01-01,4320,Female,1,93,Cadbury,"Cadbury Milk Chocolate 90% (80g)",Milk,Montreal,Canada,1,9.08,12.16,6.20,5.96
50,2023-01-01,11278,Male,1,188,Cadbury,"Cadbury Praline Chocolate 50% (120g)",Praline,Manchester,UK,2,9.12,28.16,14.35,13.81
293,2023-01-01,40008,Male,1,123,Cadbury,"Cadbury Praline Chocolate 50% (50g)",Praline,Paris,France,3,8.99,38.70,26.24,12.46
446,2023-01-01,31727,Male,1,71,Cadbury,"Cadbury Praline Chocolate 70% (100g)",Praline,Toronto,Canada,3,9.00,35.07,24.34,10.73
447,2023-01-01,49299,Female,1,71,Cadbury,"Cadbury Praline Chocolate 70% (100g)",Praline,Munich,Germany,1,9.00,5.04,3.16,1.88
646,2023-01-01,37887,Female,1,7,Cadbury,"Cadbury Praline Chocolate 70% (120g)",Praline,Brisbane,Australia,4,8.95,31.04,17.90,13.14
647,2023-01-01,32369,Female,1,7,Cadbury,"Cadbury Praline Chocolate 70% (120g)",Praline,Berlin,Germany,2,8.95,5.06,2.78,2.28
244,2023-01-01,27362,Male,1,137,Cadbury,"Cadbury Praline Chocolate 80% (100g)",Praline,Melbourne,Australia,1,9.08,8.75,4.95,3.80
507,2023-01-01,22337,Male,1,48,Cadbury,"Cadbury Praline Chocolate 90% (50g)",Praline,Lyon,France,3,8.91,11.69,6.14,5.55
433,2023-01-01,20457,Female,1,77,Cadbury,"Cadbury Truffle Chocolate 70% (100g)",Truffle,Manchester,UK,5,9.07,25.05,14.94,10.11
417,2023-01-01,35228,Female,1,83,Cadbury,"Cadbury Truffle Chocolate 70% (200g)",Truffle,Montreal,Canada,1,9.03,7.18,3.81,3.37
416,2023-01-01,717,Male,1,83,Cadbury,"Cadbury Truffle Chocolate 70% (200g)",Truffle,Edinburgh,UK,5,9.03,26.20,14.48,11.72
408,2023-01-01,21079,Male,1,86,Cadbury,"Cadbury Truffle Chocolate 80% (120g)",Truffle,Sydney,Australia,2,8.92,17.30,8.92,8.38
421,2023-01-01,1947,Male,1,81,Cadbury,"Cadbury Truffle Chocolate 90% (100g)",Truffle,Sydney,Australia,2,9.03,20.10,13.54,6.55
266,2023-01-01,40603,Male,1,129,Cadbury,"Cadbury Truffle Chocolate 90% (80g) [ID:129]",Truffle,Sydney,Australia,1,8.99,6.20,3.84,2.36
487,2023-01-01,32734,Male,1,57,Cadbury,"Cadbury Truffle Chocolate 90% (80g) [ID:57]",Truffle,Berlin,Germany,4,9.02,41.47,27.78,13.70
542,2023-01-01,12273,Female,1,38,Cadbury,"Cadbury White Chocolate 50% (100g)",White,Vancouver,Canada,2,9.01,24.82,13.88,10.94
538,2023-01-01,7806,Male,1,38,Cadbury,"Cadbury White Chocolate 50% (100g)",White,Manchester,UK,5,9.01,66.95,40.79,26.16
541,2023-01-01,28362,Female,1,38,Cadbury,"Cadbury White Chocolate 50% (100g)",White,Edinburgh,UK,1,9.01,3.68,1.94,1.74
280,2023-01-01,36907,Female,1,126,Cadbury,"Cadbury White Chocolate 50% (200g)",White,Lyon,France,2,8.94,22.10,12.63,9.46
186,2023-01-01,31388,Male,1,153,Cadbury,"Cadbury White Chocolate 70% (50g)",White,Montreal,Canada,4,8.93,15.71,9.56,6.15
187,2023-01-01,35578,Female,1,153,Cadbury,"Cadbury White Chocolate 70% (50g)",White,Montreal,Canada,4,8.93,21.86,11.67,10.18
188,2023-01-01,38588,Female,1,153,Cadbury,"Cadbury White Chocolate 70% (50g)",White,Toronto,Canada,3,8.93,41.97,21.87,20.10
185,2023-01-01,45512,Female,1,153,Cadbury,"Cadbury White Chocolate 70% (50g)",White,London,UK,4,8.93,25.12,13.67,11.45
183,2023-01-01,14630,Male,1,153,Cadbury,"Cadbury White Chocolate 70% (50g)",White,Buffalo,USA,2,8.93,17.28,10.42,6.86
23,2023-01-01,31655,Male,1,195,Cadbury,"Cadbury White Chocolate 90% (120g) [ID:195]",White,Sydney,Australia,5,8.94,31.60,20.34,11.26
452,2023-01-01,24909,Female,1,69,Cadbury,"Cadbury White Chocolate 90% (120g) [ID:69]",White,London,UK,4,8.92,21.56,14.66,6.90
460,2023-01-01,16881,Female,1,64,Ferrero,"Ferrero Dark Chocolate 50% (200g) [ID:64]",Dark,Marseille,France,1,9.06,13.60,7.58,6.02
463,2023-01-01,40662,Male,1,64,Ferrero,"Ferrero Dark Chocolate 50% (200g) [ID:64]",Dark,Manchester,UK,3,9.06,13.20,6.76,6.44
462,2023-01-01,30796,Female,1,64,Ferrero,"Ferrero Dark Chocolate 50% (200g) [ID:64]",Dark,Buffalo,USA,1,9.06,5.66,3.01,2.65
381,2023-01-01,34191,Female,1,94,Ferrero,"Ferrero Dark Chocolate 50% (200g) [ID:94]",Dark,Berlin,Germany,1,8.96,3.09,1.84,1.25
380,2023-01-01,29791,Male,1,94,Ferrero,"Ferrero Dark Chocolate 50% (200g) [ID:94]",Dark,"Long Island",USA,4,8.96,38.68,21.05,17.63
622,2023-01-01,39889,Female,1,15,Ferrero,"Ferrero Dark Chocolate 50% (50g)",Dark,Munich,Germany,4,9.09,47.06,28.82,18.23
623,2023-01-01,22043,Male,1,15,Ferrero,"Ferrero Dark Chocolate 50% (50g)",Dark,London,UK,1,9.09,8.56,5.79,2.77
625,2023-01-01,34628,Male,1,15,Ferrero,"Ferrero Dark Chocolate 50% (50g)",Dark,"Long Island",USA,3,9.09,44.34,28.92,15.42
62,2023-01-01,2221,Female,1,184,Ferrero,"Ferrero Dark Chocolate 60% (50g)",Dark,Brisbane,Australia,3,9.06,32.66,22.18,10.48
614,2023-01-01,17893,Female,1,18,Ferrero,"Ferrero Dark Chocolate 70% (50g)",Dark,Montreal,Canada,5,8.94,24.40,17.02,7.38
613,2023-01-01,33527,Female,1,18,Ferrero,"Ferrero Dark Chocolate 70% (50g)",Dark,Vancouver,Canada,4,8.94,53.96,37.03,16.93
616,2023-01-01,23550,Female,1,18,Ferrero,"Ferrero Dark Chocolate 70% (50g)",Dark,Edinburgh,UK,3,8.94,14.58,8.63,5.95
10,2023-01-01,34533,Female,1,198,Ferrero,"Ferrero Dark Chocolate 90% (80g)",Dark,Vancouver,Canada,2,8.92,25.16,14.70,10.46
8,2023-01-01,12431,Male,1,198,Ferrero,"Ferrero Dark Chocolate 90% (80g)",Dark,Manchester,UK,5,8.92,20.35,13.72,6.63
11,2023-01-01,26540,Male,1,198,Ferrero,"Ferrero Dark Chocolate 90% (80g)",Dark,Manchester,UK,2,8.92,23.82,13.92,9.90
9,2023-01-01,26805,Female,1,198,Ferrero,"Ferrero Dark Chocolate 90% (80g)",Dark,London,UK,1,8.92,3.90,2.49,1.41
13,2023-01-01,36898,Male,1,198,Ferrero,"Ferrero Dark Chocolate 90% (80g)",Dark,Buffalo,USA,4,8.92,28.83,17.21,11.62
33,2023-01-01,16843,Male,1,192,Ferrero,"Ferrero Milk Chocolate 50% (200g)",Milk,Manchester,UK,3,9.04,41.73,24.57,17.16
498,2023-01-01,3580,Female,1,53,Ferrero,"Ferrero Milk Chocolate 60% (100g)",Milk,Melbourne,Australia,4,8.86,16.16,9.72,6.44
499,2023-01-01,9455,Female,1,53,Ferrero,"Ferrero Milk Chocolate 60% (100g)",Milk,"Long Island",USA,1,8.86,3.66,2.46,1.20
182,2023-01-01,24436,Female,1,154,Ferrero,"Ferrero Milk Chocolate 70% (200g)",Milk,Toronto,Canada,5,9.01,59.63,39.72,19.91
346,2023-01-01,6970,Male,1,103,Ferrero,"Ferrero Praline Chocolate 50% (100g) [ID:103]",Praline,Montreal,Canada,2,9.01,12.26,8.00,4.26
345,2023-01-01,45999,Female,1,103,Ferrero,"Ferrero Praline Chocolate 50% (100g) [ID:103]",Praline,London,UK,5,9.01,17.80,9.25,8.55
90,2023-01-01,17013,Female,1,177,Ferrero,"Ferrero Praline Chocolate 50% (100g) [ID:177]",Praline,Edinburgh,UK,2,8.93,12.96,6.91,6.05
86,2023-01-01,32182,Male,1,177,Ferrero,"Ferrero Praline Chocolate 50% (100g) [ID:177]",Praline,"Long Island",USA,4,8.93,35.44,18.58,16.86
527,2023-01-01,10835,Male,1,42,Ferrero,"Ferrero Praline Chocolate 50% (120g)",Praline,Brisbane,Australia,2,8.99,25.50,13.22,12.28
529,2023-01-01,26393,Female,1,42,Ferrero,"Ferrero Praline Chocolate 50% (120g)",Praline,"Long Island",USA,2,8.99,21.16,12.42,8.74
379,2023-01-01,23075,Male,1,95,Ferrero,"Ferrero Praline Chocolate 50% (80g)",Praline,London,UK,1,8.99,2.77,1.61,1.16
419,2023-01-01,48449,Male,1,82,Ferrero,"Ferrero Praline Chocolate 60% (120g)",Praline,Melbourne,Australia,3,9.02,19.74,11.47,8.27
420,2023-01-01,33321,Female,1,82,Ferrero,"Ferrero Praline Chocolate 60% (120g)",Praline,Manchester,UK,1,9.02,12.12,6.36,5.76
158,2023-01-01,2798,Female,1,161,Ferrero,"Ferrero Praline Chocolate 60% (50g) [ID:161]",Praline,Munich,Germany,3,8.95,25.68,16.37,9.31
562,2023-01-01,36275,Female,1,32,Ferrero,"Ferrero Praline Chocolate 70% (200g)",Praline,Montreal,Canada,4,8.94,18.14,10.90,7.25
634,2023-01-01,5708,Female,1,11,Ferrero,"Ferrero Praline Chocolate 90% (80g)",Praline,"New York",USA,3,9.00,22.05,12.99,9.06
306,2023-01-01,43241,Male,1,119,Ferrero,"Ferrero Truffle Chocolate 50% (100g)",Truffle,Lyon,France,1,8.97,3.93,2.28,1.65
353,2023-01-01,23920,Female,1,100,Ferrero,"Ferrero Truffle Chocolate 50% (200g)",Truffle,Toronto,Canada,2,9.00,26.44,16.84,9.60
357,2023-01-01,24388,Male,1,100,Ferrero,"Ferrero Truffle Chocolate 50% (200g)",Truffle,Berlin,Germany,5,9.00,57.35,36.39,20.96
356,2023-01-01,46253,Female,1,100,Ferrero,"Ferrero Truffle Chocolate 50% (200g)",Truffle,Munich,Germany,2,9.00,24.20,16.44,7.76
119,2023-01-01,5476,Female,1,170,Ferrero,"Ferrero Truffle Chocolate 50% (50g)",Truffle,Sydney,Australia,2,8.83,19.48,13.16,6.32
118,2023-01-01,1471,Female,1,170,Ferrero,"Ferrero Truffle Chocolate 50% (50g)",Truffle,"Long Island",USA,5,8.83,45.56,29.20,16.36
133,2023-01-01,3737,Female,1,168,Ferrero,"Ferrero Truffle Chocolate 50% (80g)",Truffle,Sydney,Australia,1,9.01,8.30,5.69,2.61
130,2023-01-01,28964,Female,1,168,Ferrero,"Ferrero Truffle Chocolate 50% (80g)",Truffle,Vancouver,Canada,2,9.01,26.66,14.97,11.69
132,2023-01-01,33985,Male,1,168,Ferrero,"Ferrero Truffle Chocolate 50% (80g)",Truffle,"Long Island",USA,3,9.01,33.93,19.86,14.07
443,2023-01-01,39240,Male,1,72,Ferrero,"Ferrero Truffle Chocolate 90% (100g)",Truffle,Melbourne,Australia,2,8.99,28.70,16.26,12.44
444,2023-01-01,30048,Male,1,72,Ferrero,"Ferrero Truffle Chocolate 90% (100g)",Truffle,Vancouver,Canada,3,8.99,12.07,8.05,4.02
441,2023-01-01,3905,Male,1,72,Ferrero,"Ferrero Truffle Chocolate 90% (100g)",Truffle,London,UK,2,8.99,7.88,4.35,3.53
640,2023-01-01,15345,Male,1,9,Ferrero,"Ferrero White Chocolate 50% (80g)",White,Lyon,France,4,8.99,53.28,28.83,24.45
658,2023-01-01,39555,Female,1,5,Ferrero,"Ferrero White Chocolate 70% (50g)",White,Melbourne,Australia,4,8.91,25.76,15.97,9.79
654,2023-01-01,37144,Male,1,5,Ferrero,"Ferrero White Chocolate 70% (50g)",White,Sydney,Australia,2,8.91,18.70,12.71,6.00
659,2023-01-01,22918,Male,1,5,Ferrero,"Ferrero White Chocolate 70% (50g)",White,Toronto,Canada,4,8.91,44.50,26.07,18.43
657,2023-01-01,30575,Female,1,5,Ferrero,"Ferrero White Chocolate 70% (50g)",White,Munich,Germany,3,8.91,29.67,18.60,11.07
458,2023-01-01,40755,Female,1,65,Ferrero,"Ferrero White Chocolate 80% (80g) [ID:65]",White,Marseille,France,3,9.06,14.01,9.50,4.51
457,2023-01-01,39498,Female,1,65,Ferrero,"Ferrero White Chocolate 80% (80g) [ID:65]",White,Marseille,France,1,9.06,7.97,4.48,3.49
454,2023-01-01,23519,Male,1,66,Ferrero,"Ferrero White Chocolate 80% (80g) [ID:66]",White,Toronto,Canada,3,9.15,16.75,11.49,5.26
456,2023-01-01,31248,Female,1,66,Ferrero,"Ferrero White Chocolate 80% (80g) [ID:66]",White,Lyon,France,3,9.15,10.80,6.58,4.22
80,2023-01-01,10746,Female,1,179,Ferrero,"Ferrero White Chocolate 90% (100g)",White,Brisbane,Australia,4,9.04,29.40,18.25,11.15
451,2023-01-01,538,Female,1,70,Ferrero,"Ferrero White Chocolate 90% (200g)",White,Montreal,Canada,5,8.78,45.60,27.69,17.91
450,2023-01-01,1251,Female,1,70,Ferrero,"Ferrero White Chocolate 90% (200g)",White,London,UK,1,8.78,14.24,9.52,4.72
239,2023-01-01,23916,Male,1,139,Godiva,"Godiva Dark Chocolate 50% (100g)",Dark,London,UK,1,9.11,3.42,1.99,1.43
56,2023-01-01,48092,Female,1,186,Godiva,"Godiva Dark Chocolate 60% (50g)",Dark,Montreal,Canada,4,9.07,56.88,39.51,17.37
58,2023-01-01,24102,Female,1,186,Godiva,"Godiva Dark Chocolate 60% (50g)",Dark,Lyon,France,4,9.07,45.00,25.94,19.06
57,2023-01-01,21879,Female,1,186,Godiva,"Godiva Dark Chocolate 60% (50g)",Dark,Paris,France,4,9.07,47.76,30.78,16.98
54,2023-01-01,21475,Male,1,186,Godiva,"Godiva Dark Chocolate 60% (50g)",Dark,Berlin,Germany,5,9.07,49.95,33.40,16.55
395,2023-01-01,18689,Male,1,89,Godiva,"Godiva Dark Chocolate 70% (200g)",Dark,Vancouver,Canada,4,8.92,45.43,24.61,20.82
396,2023-01-01,34876,Male,1,89,Godiva,"Godiva Dark Chocolate 70% (200g)",Dark,Marseille,France,3,8.92,21.24,12.54,8.70
399,2023-01-01,2378,Female,1,89,Godiva,"Godiva Dark Chocolate 70% (200g)",Dark,Marseille,France,2,8.92,26.26,13.79,12.47
587,2023-01-01,49538,Male,1,26,Godiva,"Godiva Dark Chocolate 90% (120g)",Dark,Melbourne,Australia,1,8.96,13.13,6.68,6.45
588,2023-01-01,29583,Female,1,26,Godiva,"Godiva Dark Chocolate 90% (120g)",Dark,Toronto,Canada,5,8.96,43.05,26.20,16.85
585,2023-01-01,9690,Female,1,26,Godiva,"Godiva Dark Chocolate 90% (120g)",Dark,Marseille,France,4,8.96,38.34,24.73,13.61
45,2023-01-01,8535,Male,1,189,Godiva,"Godiva Milk Chocolate 50% (100g)",Milk,Montreal,Canada,1,9.04,5.15,3.15,2.00
47,2023-01-01,39759,Female,1,189,Godiva,"Godiva Milk Chocolate 50% (100g)",Milk,Berlin,Germany,2,9.04,14.54,8.52,6.02
308,2023-01-01,46442,Male,1,118,Godiva,"Godiva Milk Chocolate 70% (120g)",Milk,Sydney,Australia,5,9.05,38.80,26.15,12.65
307,2023-01-01,27126,Female,1,118,Godiva,"Godiva Milk Chocolate 70% (120g)",Milk,"New York",USA,1,9.05,5.52,3.54,1.99
519,2023-01-01,37813,Female,1,45,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:45]",Milk,Brisbane,Australia,4,8.93,59.60,30.09,29.51
520,2023-01-01,41181,Female,1,45,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:45]",Milk,Toronto,Canada,5,8.93,34.20,22.83,11.37
521,2023-01-01,42249,Female,1,45,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:45]",Milk,Montreal,Canada,2,8.93,8.88,5.76,3.12
522,2023-01-01,48194,Female,1,45,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:45]",Milk,Manchester,UK,3,8.93,23.70,15.71,7.99
367,2023-01-01,13827,Female,1,97,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:97]",Milk,Melbourne,Australia,5,8.98,71.75,45.58,26.17
373,2023-01-01,41936,Male,1,97,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:97]",Milk,Paris,France,3,8.98,12.03,6.04,5.99
368,2023-01-01,26962,Female,1,97,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:97]",Milk,Berlin,Germany,3,8.98,25.68,15.07,10.61
369,2023-01-01,17780,Male,1,97,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:97]",Milk,London,UK,5,8.98,60.70,30.69,30.01
372,2023-01-01,38286,Female,1,97,Godiva,"Godiva Milk Chocolate 80% (50g) [ID:97]",Milk,London,UK,3,8.98,11.25,7.08,4.17
52,2023-01-01,16950,Male,1,187,Godiva,"Godiva Praline Chocolate 50% (120g)",Praline,Paris,France,4,9.00,37.36,25.90,11.46
53,2023-01-01,24073,Female,1,187,Godiva,"Godiva Praline Chocolate 50% (120g)",Praline,Paris,France,4,9.00,13.39,7.12,6.27
478,2023-01-01,39551,Male,1,59,Godiva,"Godiva Praline Chocolate 50% (80g)",Praline,Sydney,Australia,4,8.99,47.91,25.50,22.40
479,2023-01-01,7751,Male,1,59,Godiva,"Godiva Praline Chocolate 50% (80g)",Praline,Vancouver,Canada,4,8.99,40.04,27.66,12.38
437,2023-01-01,30496,Male,1,75,Godiva,"Godiva Praline Chocolate 70% (200g)",Praline,Berlin,Germany,4,9.00,46.32,26.80,19.52
141,2023-01-01,13106,Female,1,165,Godiva,"Godiva Praline Chocolate 70% (50g)",Praline,Sydney,Australia,1,8.97,8.47,4.67,3.80
143,2023-01-01,44735,Male,1,165,Godiva,"Godiva Praline Chocolate 70% (50g)",Praline,Berlin,Germany,1,8.97,12.97,6.87,6.10
146,2023-01-01,45800,Female,1,165,Godiva,"Godiva Praline Chocolate 70% (50g)",Praline,London,UK,2,8.97,26.06,15.33,10.73
342,2023-01-01,360,Male,1,104,Godiva,"Godiva Praline Chocolate 80% (120g)",Praline,Melbourne,Australia,2,8.97,6.21,4.31,1.90
343,2023-01-01,376,Male,1,104,Godiva,"Godiva Praline Chocolate 80% (120g)",Praline,Vancouver,Canada,2,8.97,11.72,7.95,3.77
341,2023-01-01,15770,Female,1,104,Godiva,"Godiva Praline Chocolate 80% (120g)",Praline,"Long Island",USA,1,8.97,12.92,7.59,5.33
328,2023-01-01,38551,Male,1,109,Godiva,"Godiva Truffle Chocolate 50% (50g)",Truffle,Melbourne,Australia,5,8.95,57.36,32.23,25.13
330,2023-01-01,29894,Male,1,109,Godiva,"Godiva Truffle Chocolate 50% (50g)",Truffle,London,UK,5,8.95,73.80,44.90,28.90
402,2023-01-01,24413,Female,1,87,Godiva,"Godiva Truffle Chocolate 60% (100g)",Truffle,Sydney,Australia,5,8.96,46.20,28.06,18.14
404,2023-01-01,25533,Male,1,87,Godiva,"Godiva Truffle Chocolate 60% (100g)",Truffle,Toronto,Canada,3,8.96,43.32,22.06,21.26
403,2023-01-01,2512,Female,1,87,Godiva,"Godiva Truffle Chocolate 60% (100g)",Truffle,Berlin,Germany,3,8.96,37.86,23.17,14.69
163,2023-01-01,44953,Female,1,159,Godiva,"Godiva Truffle Chocolate 70% (100g) [ID:159]",Truffle,Paris,France,3,8.90,15.91,9.70,6.21
36,2023-01-01,847,Female,1,191,Godiva,"Godiva Truffle Chocolate 70% (100g) [ID:191]",Truffle,Marseille,France,3,9.01,13.02,6.79,6.23
35,2023-01-01,21162,Female,1,191,Godiva,"Godiva Truffle Chocolate 70% (100g) [ID:191]",Truffle,Marseille,France,1,9.01,14.02,9.20,4.82
604,2023-01-01,24160,Female,1,20,Godiva,"Godiva Truffle Chocolate 70% (200g)",Truffle,Sydney,Australia,1,9.04,7.40,3.89,3.51
166,2023-01-01,16679,Female,1,158,Godiva,"Godiva Truffle Chocolate 80% (100g)",Truffle,Melbourne,Australia,3,8.93,9.45,5.38,4.07
170,2023-01-01,2365,Male,1,158,Godiva,"Godiva Truffle Chocolate 80% (100g)",Truffle,Paris,France,3,8.93,37.11,25.39,11.72
167,2023-01-01,20422,Male,1,158,Godiva,"Godiva Truffle Chocolate 80% (100g)",Truffle,Berlin,Germany,2,8.93,27.54,17.24,10.30
172,2023-01-01,30906,Female,1,158,Godiva,"Godiva Truffle Chocolate 80% (100g)",Truffle,Munich,Germany,2,8.93,13.14,6.70,6.44
171,2023-01-01,47918,Female,1,158,Godiva,"Godiva Truffle Chocolate 80% (100g)",Truffle,Munich,Germany,1,8.93,6.26,3.67,2.59
136,2023-01-01,8358,Male,1,167,Godiva,"Godiva Truffle Chocolate 80% (200g)",Truffle,Toronto,Canada,1,8.94,7.10,4.23,2.88
25,2023-01-01,43907,Male,1,194,Godiva,"Godiva Truffle Chocolate 90% (200g)",Truffle,Melbourne,Australia,2,9.07,17.68,11.08,6.60
27,2023-01-01,41092,Male,1,194,Godiva,"Godiva Truffle Chocolate 90% (200g)",Truffle,Manchester,UK,5,9.07,24.40,14.37,10.03
558,2023-01-01,13410,Male,1,34,Godiva,"Godiva White Chocolate 60% (100g)",White,Manchester,UK,5,8.99,63.65,32.20,31.45
630,2023-01-01,28867,Male,1,13,Godiva,"Godiva White Chocolate 70% (120g)",White,"Long Island",USA,1,8.91,13.61,6.83,6.78
215,2023-01-01,8829,Female,1,145,Godiva,"Godiva White Chocolate 70% (50g)",White,Vancouver,Canada,5,8.97,16.48,11.29,5.19
216,2023-01-01,9974,Male,1,145,Godiva,"Godiva White Chocolate 70% (50g)",White,Lyon,France,4,8.97,34.56,19.12,15.44
214,2023-01-01,15048,Female,1,145,Godiva,"Godiva White Chocolate 70% (50g)",White,"Long Island",USA,3,8.97,17.43,11.65,5.78
250,2023-01-01,8939,Male,1,135,Godiva,"Godiva White Chocolate 80% (200g)",White,"Long Island",USA,5,9.04,18.00,9.31,8.69
274,2023-01-01,10582,Male,1,128,Godiva,"Godiva White Chocolate 80% (50g)",White,Toronto,Canada,1,9.00,4.52,3.02,1.50
275,2023-01-01,875,Female,1,128,Godiva,"Godiva White Chocolate 80% (50g)",White,Munich,Germany,3,9.00,19.32,10.94,8.38
272,2023-01-01,38131,Male,1,128,Godiva,"Godiva White Chocolate 80% (50g)",White,"Long Island",USA,4,9.00,15.27,7.66,7.61
564,2023-01-01,11350,Female,1,31,Godiva,"Godiva White Chocolate 80% (80g)",White,Melbourne,Australia,3,9.00,32.16,17.82,14.34
563,2023-01-01,18937,Female,1,31,Godiva,"Godiva White Chocolate 80% (80g)",White,Sydney,Australia,3,9.00,34.80,23.73,11.07
565,2023-01-01,40984,Female,1,31,Godiva,"Godiva White Chocolate 80% (80g)",White,Vancouver,Canada,2,9.00,14.72,8.49,6.23
644,2023-01-01,33233,Male,1,8,Godiva,"Godiva White Chocolate 90% (100g)",White,Edinburgh,UK,4,9.08,28.97,16.33,12.64
223,2023-01-01,17067,Female,1,143,Godiva,"Godiva White Chocolate 90% (50g)",White,Brisbane,Australia,1,8.99,11.44,7.67,3.77
391,2023-01-01,1783,Female,1,90,Hershey,"Hershey Dark Chocolate 50% (120g)",Dark,Brisbane,Australia,2,9.11,25.30,16.00,9.30
